road_id,year,pci_score,structural_condition,monsoon_cycles_survived,drainage_proximity_score
RD_LOC_056,2019,86.5,Good,6,0.1
RD_LOC_056,2020,84.4,Good,5,0.1
RD_LOC_056,2021,83.6,Good,4,0.1
RD_LOC_056,2022,82.2,Good,3,0.1
RD_LOC_056,2023,81.7,Good,2,0.1
RD_LOC_056,2024,78.3,Good,1,0.1
RD_LOC_057,2019,80.5,Good,6,0.57
RD_LOC_057,2020,74.9,Good,5,0.57
RD_LOC_057,2021,73.9,Good,4,0.57
RD_LOC_057,2022,68.5,Fair,3,0.57
RD_LOC_057,2023,65.2,Fair,2,0.57
RD_LOC_057,2024,60.1,Fair,1,0.57
RD_LOC_058,2019,60.5,Fair,6,0.25
RD_LOC_058,2020,56.8,Fair,5,0.25
RD_LOC_058,2021,52.1,Fair,4,0.25
RD_LOC_058,2022,46.6,Poor / Reconstruction Required,3,0.25
RD_LOC_058,2023,44.8,Poor / Reconstruction Required,2,0.25
RD_LOC_058,2024,40.8,Poor / Reconstruction Required,1,0.25
RD_LOC_059,2019,86.6,Good,6,0.63
RD_LOC_059,2020,86.3,Good,5,0.63
RD_LOC_059,2021,86.4,Good,4,0.63
RD_LOC_059,2022,83.2,Good,3,0.63
RD_LOC_059,2023,83.9,Good,2,0.63
RD_LOC_059,2024,81.3,Good,1,0.63
RD_LOC_060,2019,72.4,Good,6,0.76
RD_LOC_060,2020,67.4,Fair,5,0.76
RD_LOC_060,2021,64.7,Fair,4,0.76
RD_LOC_060,2022,59.6,Fair,3,0.76
RD_LOC_060,2023,56.6,Fair,2,0.76
RD_LOC_060,2024,51.3,Fair,1,0.76
RD_LOC_061,2019,86.5,Good,6,0.4
RD_LOC_061,2020,82.4,Good,5,0.4
RD_LOC_061,2021,78.3,Good,4,0.4
RD_LOC_061,2022,74.0,Good,3,0.4
RD_LOC_061,2023,70.9,Good,2,0.4
RD_LOC_061,2024,67.6,Fair,1,0.4
RD_LOC_062,2019,86.8,Good,6,0.66
RD_LOC_062,2020,82.5,Good,5,0.66
RD_LOC_062,2021,80.1,Good,4,0.66
RD_LOC_062,2022,74.9,Good,3,0.66
RD_LOC_062,2023,70.7,Good,2,0.66
RD_LOC_062,2024,68.0,Fair,1,0.66
RD_LOC_063,2019,58.5,Fair,6,0.78
RD_LOC_063,2020,55.1,Fair,5,0.78
RD_LOC_063,2021,54.2,Fair,4,0.78
RD_LOC_063,2022,48.3,Poor / Reconstruction Required,3,0.78
RD_LOC_063,2023,42.8,Poor / Reconstruction Required,2,0.78
RD_LOC_063,2024,41.0,Poor / Reconstruction Required,1,0.78
RD_LOC_064,2019,100.0,Good,6,0.81
RD_LOC_064,2020,98.5,Good,5,0.81
RD_LOC_064,2021,91.3,Good,4,0.81
RD_LOC_064,2022,83.3,Good,3,0.81
RD_LOC_064,2023,78.0,Good,2,0.81
RD_LOC_064,2024,69.4,Fair,1,0.81
RD_LOC_065,2019,88.9,Good,6,0.65
RD_LOC_065,2020,82.4,Good,5,0.65
RD_LOC_065,2021,80.3,Good,4,0.65
RD_LOC_065,2022,76.4,Good,3,0.65
RD_LOC_065,2023,70.3,Good,2,0.65
RD_LOC_065,2024,66.4,Fair,1,0.65
RD_LOC_066,2019,77.5,Good,6,0.77
RD_LOC_066,2020,75.2,Good,5,0.77
RD_LOC_066,2021,69.7,Fair,4,0.77
RD_LOC_066,2022,65.8,Fair,3,0.77
RD_LOC_066,2023,60.5,Fair,2,0.77
RD_LOC_066,2024,57.6,Fair,1,0.77
RD_LOC_067,2019,89.6,Good,6,0.71
RD_LOC_067,2020,85.3,Good,5,0.71
RD_LOC_067,2021,82.7,Good,4,0.71
RD_LOC_067,2022,76.7,Good,3,0.71
RD_LOC_067,2023,75.5,Good,2,0.71
RD_LOC_067,2024,72.0,Good,1,0.71
RD_LOC_068,2019,94.2,Good,6,0.84
RD_LOC_068,2020,93.1,Good,5,0.84
RD_LOC_068,2021,93.3,Good,4,0.84
RD_LOC_068,2022,91.3,Good,3,0.84
RD_LOC_068,2023,89.5,Good,2,0.84
RD_LOC_068,2024,89.6,Good,1,0.84
RD_LOC_069,2019,72.4,Good,6,0.45
RD_LOC_069,2020,66.7,Fair,5,0.45
RD_LOC_069,2021,61.9,Fair,4,0.45
RD_LOC_069,2022,58.4,Fair,3,0.45
RD_LOC_069,2023,52.9,Fair,2,0.45
RD_LOC_069,2024,50.6,Fair,1,0.45
RD_LOC_070,2019,86.6,Good,6,0.43
RD_LOC_070,2020,84.2,Good,5,0.43
RD_LOC_070,2021,82.0,Good,4,0.43
RD_LOC_070,2022,81.3,Good,3,0.43
RD_LOC_070,2023,78.5,Good,2,0.43
RD_LOC_070,2024,79.9,Good,1,0.43
RD_LOC_071,2019,61.2,Fair,6,0.75
RD_LOC_071,2020,56.4,Fair,5,0.75
RD_LOC_071,2021,51.6,Fair,4,0.75
RD_LOC_071,2022,48.3,Poor / Reconstruction Required,3,0.75
RD_LOC_071,2023,44.2,Poor / Reconstruction Required,2,0.75
RD_LOC_071,2024,40.3,Poor / Reconstruction Required,1,0.75
RD_LOC_072,2019,88.0,Good,6,0.47
RD_LOC_072,2020,81.8,Good,5,0.47
RD_LOC_072,2021,78.0,Good,4,0.47
RD_LOC_072,2022,74.6,Good,3,0.47
RD_LOC_072,2023,68.1,Fair,2,0.47
RD_LOC_072,2024,66.4,Fair,1,0.47
RD_LOC_073,2019,68.5,Fair,6,0.59
RD_LOC_073,2020,66.7,Fair,5,0.59
RD_LOC_073,2021,60.4,Fair,4,0.59
RD_LOC_073,2022,55.8,Fair,3,0.59
RD_LOC_073,2023,52.5,Fair,2,0.59
RD_LOC_073,2024,47.9,Poor / Reconstruction Required,1,0.59
RD_LOC_074,2019,95.7,Good,6,0.6
RD_LOC_074,2020,93.0,Good,5,0.6
RD_LOC_074,2021,94.0,Good,4,0.6
RD_LOC_074,2022,92.7,Good,3,0.6
RD_LOC_074,2023,90.9,Good,2,0.6
RD_LOC_074,2024,90.4,Good,1,0.6
RD_LOC_075,2019,88.1,Good,6,0.67
RD_LOC_075,2020,82.4,Good,5,0.67
RD_LOC_075,2021,77.9,Good,4,0.67
RD_LOC_075,2022,74.3,Good,3,0.67
RD_LOC_075,2023,70.7,Good,2,0.67
RD_LOC_075,2024,66.5,Fair,1,0.67
RD_LOC_076,2019,84.6,Good,6,0.75
RD_LOC_076,2020,78.2,Good,5,0.75
RD_LOC_076,2021,75.4,Good,4,0.75
RD_LOC_076,2022,68.1,Fair,3,0.75
RD_LOC_076,2023,66.2,Fair,2,0.75
RD_LOC_076,2024,61.5,Fair,1,0.75
RD_LOC_077,2019,93.4,Good,6,0.43
RD_LOC_077,2020,93.6,Good,5,0.43
RD_LOC_077,2021,93.1,Good,4,0.43
RD_LOC_077,2022,91.8,Good,3,0.43
RD_LOC_077,2023,91.2,Good,2,0.43
RD_LOC_077,2024,88.8,Good,1,0.43
RD_LOC_078,2019,99.6,Good,6,0.83
RD_LOC_078,2020,97.0,Good,5,0.83
RD_LOC_078,2021,97.0,Good,4,0.83
RD_LOC_078,2022,96.9,Good,3,0.83
RD_LOC_078,2023,94.8,Good,2,0.83
RD_LOC_078,2024,94.1,Good,1,0.83
RD_LOC_079,2019,90.7,Good,6,0.59
RD_LOC_079,2020,89.0,Good,5,0.59
RD_LOC_079,2021,88.4,Good,4,0.59
RD_LOC_079,2022,86.9,Good,3,0.59
RD_LOC_079,2023,86.1,Good,2,0.59
RD_LOC_079,2024,85.7,Good,1,0.59
RD_LOC_080,2019,99.9,Good,6,0.43
RD_LOC_080,2020,99.6,Good,5,0.43
RD_LOC_080,2021,99.2,Good,4,0.43
RD_LOC_080,2022,95.6,Good,3,0.43
RD_LOC_080,2023,95.4,Good,2,0.43
RD_LOC_080,2024,91.8,Good,1,0.43
RD_LOC_081,2019,65.2,Fair,6,0.66
RD_LOC_081,2020,59.2,Fair,5,0.66
RD_LOC_081,2021,55.9,Fair,4,0.66
RD_LOC_081,2022,52.9,Fair,3,0.66
RD_LOC_081,2023,46.7,Poor / Reconstruction Required,2,0.66
RD_LOC_081,2024,44.8,Poor / Reconstruction Required,1,0.66
RD_LOC_082,2019,62.1,Fair,6,0.66
RD_LOC_082,2020,57.6,Fair,5,0.66
RD_LOC_082,2021,54.6,Fair,4,0.66
RD_LOC_082,2022,47.6,Poor / Reconstruction Required,3,0.66
RD_LOC_082,2023,46.0,Poor / Reconstruction Required,2,0.66
RD_LOC_082,2024,42.1,Poor / Reconstruction Required,1,0.66
RD_LOC_083,2019,90.7,Good,6,0.45
RD_LOC_083,2020,85.8,Good,5,0.45
RD_LOC_083,2021,84.6,Good,4,0.45
RD_LOC_083,2022,79.3,Good,3,0.45
RD_LOC_083,2023,75.0,Good,2,0.45
RD_LOC_083,2024,70.2,Good,1,0.45
RD_LOC_084,2019,63.7,Fair,6,0.55
RD_LOC_084,2020,58.0,Fair,5,0.55
RD_LOC_084,2021,54.9,Fair,4,0.55
RD_LOC_084,2022,48.2,Poor / Reconstruction Required,3,0.55
RD_LOC_084,2023,47.5,Poor / Reconstruction Required,2,0.55
RD_LOC_084,2024,41.1,Poor / Reconstruction Required,1,0.55
RD_LOC_085,2019,67.5,Fair,6,0.68
RD_LOC_085,2020,62.3,Fair,5,0.68
RD_LOC_085,2021,58.7,Fair,4,0.68
RD_LOC_085,2022,54.7,Fair,3,0.68
RD_LOC_085,2023,50.8,Fair,2,0.68
RD_LOC_085,2024,47.3,Poor / Reconstruction Required,1,0.68
